name,publisher,publishYear,playersNum,rating
Tiny Towns,AEG,2019,6949,7.43
Love Letter,AEG,2012,6944,7.24
Space Base,AEG,2018,5370,7.52
Point Salad,AEG,2019,3468,7.35
Mystic Vale,AEG,2016,2368,7.3
Kingdomino,BlueOrange,2016,10175,7.36
Photosynthesis,BlueOrange,2017,4049,7.19
Planet,BlueOrange,2018,2575,6.8
Blue Lagoon,BlueOrange,2018,1951,7.24
Kingdomino Duel,BlueOrange,2019,840,7.1
Gizmos,CMON,2018,5376,7.5
Blood Rage,CMON,2015,4690,8.01
Rising Son,CMON,2018,3324,7.93
The Godfather,CMON,2017,1500,7.59
Zombicide: Black Plague,CMON,2015,1498,7.71
Carcassonne,HansimGluck,2000,9713,7.42
Stone Age,HansimGluck,2008,5011,7.59
Marco Polo,HansimGluck,2015,4016,7.92
Hadara,HansimGluck,2019,2965,7.52
Citadels,HansimGluck,2000,2546,7.09
Catan,Kosmos,1995,6108,7.17
Lost Cities,Kosmos,1999,4254,7.17
Imhotep,Kosmos,2016,3005,7.22
Targi,Kosmos,2012,2876,7.62
5-Minute Dungeon,Kosmos,2018,1566,7.13
Patchwork,LookoutGames,2014,8657,7.68
Barenpark,LookoutGames,2017,4680,7.36
Isle of Skye,LookoutGames,2015,4504,7.45
Agricola,LookoutGames,2007,3906,7.97
Caverna,LookoutGames,2013,3390,8.04
Wingspan,Stonemaier Games,2019,19623,8.11
Scythe,StonemaierGames,2016,11652,8.26
Viticulutre,StonemaierGames,2015,6896,8.11
Tapestry,StonemaierGames,2019,6874,7.52
Charterstone,StonemaierGames,2017,2812,7.51
